bv_number,date,days_since_publish,views,new_followers,unfollows,likes,danmaku,comments,shares,favorites,coins
BV1GT4PzEEhd,12/10/2025,0,418,0,0,8,0,1,0,0,0
BV1GT4PzEEhd,13/10/2025,1,5,0,0,0,0,0,0,0,0
BV1GT4PzEEhd,14/10/2025,2,2,0,0,0,0,0,0,0,0
BV1GT4PzEEhd,15/10/2025,3,2,0,0,0,0,0,0,0,0
BV1GT4PzEEhd,16/10/2025,4,1,0,0,0,0,0,0,0,0
BV1GT4PzEEhd,17/10/2025,5,0,0,0,0,0,0,0,0,0
BV1GT4PzEEhd,18/10/2025,6,1,0,0,0,0,0,0,0,0
BV1GT4PzEEhd,19/10/2025,7,0,0,0,0,0,0,0,0,0
BV1GT4PzEEhd,20/10/2025,8,0,0,0,0,0,0,0,0,0
BV1GT4PzEEhd,21/10/2025,9,0,0,0,0,0,0,0,0,0
BV15skLB6ED7,20/1/2026,0,405,0,0,4,0,6,0,0,0
BV15skLB6ED7,21/1/2026,1,860,0,0,9,2,3,0,0,0
BV15skLB6ED7,22/1/2026,2,496,0,0,8,0,3,0,0,0
BV15skLB6ED7,23/1/2026,3,208,0,0,2,0,0,0,0,0
BV15skLB6ED7,24/1/2026,4,242,0,0,1,0,0,0,0,0
BV15skLB6ED7,25/1/2026,5,213,0,0,1,0,0,0,0,0
BV15skLB6ED7,26/1/2026,6,371,0,0,2,0,0,0,0,0
BV15skLB6ED7,27/1/2026,7,232,0,0,1,0,1,0,0,0
BV15skLB6ED7,28/1/2026,8,203,0,0,2,1,0,0,0,0
BV15skLB6ED7,29/1/2026,9,156,0,0,2,0,0,0,0,0
BV1VEz1BLEum,24/1/2026,0,187,1,0,5,1,2,0,3,2
BV1VEz1BLEum,25/1/2026,1,745,0,0,27,0,4,2,19,2
BV1VEz1BLEum,26/1/2026,2,230,0,0,6,0,0,0,2,0
BV1VEz1BLEum,27/1/2026,3,78,0,0,2,0,0,1,2,0
BV1VEz1BLEum,28/1/2026,4,33,0,0,1,0,0,0,0,0
BV1VEz1BLEum,29/1/2026,5,29,1,0,3,0,1,0,2,2
BV1VEz1BLEum,30/1/2026,6,17,0,0,0,0,0,0,0,0
BV1VEz1BLEum,31/1/2026,7,9,0,0,0,0,0,0,0,0
BV1VEz1BLEum,1/2/2026,8,14,0,0,0,0,0,0,0,0
BV1VEz1BLEum,2/2/2026,9,14,0,0,1,0,0,0,0,0
BV12GP2zvEXW,6/3/2026,0,229,1,0,23,0,0,0,20,1
BV12GP2zvEXW,7/3/2026,1,26,1,0,3,0,0,0,3,0
BV12GP2zvEXW,8/3/2026,2,15,0,0,0,0,0,0,0,0
BV12GP2zvEXW,9/3/2026,3,8,0,0,0,0,0,0,0,0
BV12GP2zvEXW,10/3/2026,4,10,0,0,0,0,0,0,0,0
BV12GP2zvEXW,11/3/2026,5,17,0,0,0,0,0,0,0,0
BV12GP2zvEXW,12/3/2026,6,8,0,0,0,0,0,0,0,0
BV12GP2zvEXW,13/3/2026,7,3,0,0,0,0,0,0,0,0
BV12GP2zvEXW,14/3/2026,8,7,0,0,0,0,0,0,0,0
BV12GP2zvEXW,15/3/2026,9,1,0,0,0,0,0,0,0,0
BV1KfPjzQE1V,8/3/2026,0,448,0,0,3,0,1,0,0,0
BV1KfPjzQE1V,9/3/2026,1,46,0,0,0,0,1,0,0,0
BV1KfPjzQE1V,10/3/2026,2,32,0,0,0,0,0,0,0,0
BV1KfPjzQE1V,11/3/2026,3,41,0,0,1,0,0,0,0,0
BV1KfPjzQE1V,12/3/2026,4,18,0,0,0,0,0,0,0,0
BV1KfPjzQE1V,13/3/2026,5,8,0,0,0,0,0,0,0,0
BV1KfPjzQE1V,14/3/2026,6,8,0,0,0,0,0,0,0,0
BV1KfPjzQE1V,15/3/2026,7,5,0,0,0,0,0,0,0,0
BV1KfPjzQE1V,16/3/2026,8,32,0,0,0,0,0,0,0,0
BV1KfPjzQE1V,17/3/2026,9,1,0,0,0,0,0,0,0,0
BV1hTwwzVEWC,12/3/2026,0,356,0,0,10,0,2,0,2,2
BV1hTwwzVEWC,13/3/2026,1,13,0,0,4,0,0,0,0,0
BV1hTwwzVEWC,14/3/2026,2,18,1,0,4,0,0,0,0,0
BV1hTwwzVEWC,15/3/2026,3,7,0,0,1,0,0,0,0,0
BV1hTwwzVEWC,16/3/2026,4,6,0,0,2,0,0,0,0,0
BV1hTwwzVEWC,17/3/2026,5,9,0,0,1,0,0,0,0,0
BV1hTwwzVEWC,18/3/2026,6,5,0,0,0,0,0,0,0,0
BV1hTwwzVEWC,19/3/2026,7,2,0,0,2,0,0,0,0,0
BV1hTwwzVEWC,20/3/2026,8,2,0,0,1,0,0,0,0,0
BV1hTwwzVEWC,21/3/2026,9,4,0,0,1,0,0,0,0,0
