时间,播放量,涨粉,取关,点赞,弹幕,评论,分享,收藏,投币
累计,1601,2,0,60,1,7,4,35,8
2026/01/24,187,1,0,5,1,2,0,3,2
2026/01/25,745,0,0,27,0,4,2,19,2
2026/01/26,230,0,0,6,0,0,0,2,0
2026/01/27,78,0,0,2,0,0,1,2,0
2026/01/28,33,0,0,1,0,0,0,0,0
2026/01/29,29,1,0,3,0,1,0,2,2
2026/01/30,17,0,0,0,0,0,0,0,0
2026/01/31,9,0,0,0,0,0,0,0,0
2026/02/01,14,0,0,0,0,0,0,0,0
2026/02/02,14,0,0,1,0,0,0,0,0
2026/02/03,14,0,0,2,0,0,0,0,0
2026/02/04,8,0,0,0,0,0,0,1,0
2026/02/05,21,0,0,0,0,0,0,1,0
2026/02/06,9,0,0,1,0,0,0,0,2
2026/02/07,9,0,0,1,0,0,0,0,0
2026/02/08,26,0,0,2,0,0,0,1,0
2026/02/09,21,0,0,1,0,0,0,0,0
2026/02/10,10,0,0,1,0,0,0,1,0
2026/02/11,13,0,0,1,0,0,0,1,0
2026/02/12,23,0,0,5,0,0,0,1,0
2026/02/13,14,0,0,0,0,0,1,1,0
2026/02/14,8,0,0,0,0,0,0,0,0
2026/02/15,7,0,0,0,0,0,0,0,0
2026/02/16,17,0,0,0,0,0,0,0,0
2026/02/17,12,0,0,0,0,0,0,0,0
2026/02/18,7,0,0,0,0,0,0,0,0
2026/02/19,7,0,0,0,0,0,0,0,0
2026/02/20,7,0,0,0,0,0,0,0,0
2026/02/21,8,0,0,1,0,0,0,0,0
2026/02/22,4,0,0,0,0,0,0,0,0
