时间,播放量,涨粉,取关,点赞,弹幕,评论,分享,收藏,投币
累计,653,0,0,4,0,2,0,0,0
2026/03/03,0,0,0,0,0,0,0,0,0
2026/03/04,0,0,0,0,0,0,0,0,0
2026/03/05,0,0,0,0,0,0,0,0,0
2026/03/06,0,0,0,0,0,0,0,0,0
2026/03/07,0,0,0,0,0,0,0,0,0
2026/03/08,448,0,0,3,0,1,0,0,0
2026/03/09,46,0,0,0,0,1,0,0,0
2026/03/10,32,0,0,0,0,0,0,0,0
2026/03/11,41,0,0,1,0,0,0,0,0
2026/03/12,18,0,0,0,0,0,0,0,0
2026/03/13,8,0,0,0,0,0,0,0,0
2026/03/14,8,0,0,0,0,0,0,0,0
2026/03/15,5,0,0,0,0,0,0,0,0
2026/03/16,32,0,0,0,0,0,0,0,0
2026/03/17,1,0,0,0,0,0,0,0,0
2026/03/18,4,0,0,0,0,0,0,0,0
2026/03/19,2,0,0,0,0,0,0,0,0
2026/03/20,3,0,0,0,0,0,0,0,0
2026/03/21,0,0,0,0,0,0,0,0,0
2026/03/22,5,0,0,0,0,0,0,0,0
