时间,播放量,涨粉,取关,点赞,弹幕,评论,分享,收藏,投币
累计,4346,0,0,36,4,18,0,0,2
2026/01/20,405,0,0,4,0,6,0,0,0
2026/01/21,860,0,0,9,2,3,0,0,0
2026/01/22,496,0,0,8,0,3,0,0,0
2026/01/23,208,0,0,2,0,0,0,0,0
2026/01/24,242,0,0,1,0,0,0,0,0
2026/01/25,213,0,0,1,0,0,0,0,0
2026/01/26,371,0,0,2,0,0,0,0,0
2026/01/27,232,0,0,1,0,1,0,0,0
2026/01/28,203,0,0,2,1,0,0,0,0
2026/01/29,156,0,0,2,0,0,0,0,0
2026/01/30,148,0,0,0,0,0,0,0,0
2026/01/31,144,0,0,1,1,1,0,0,0
2026/02/01,127,0,0,1,0,4,0,0,0
2026/02/02,140,0,0,0,0,0,0,0,0
2026/02/03,134,0,0,1,0,0,0,0,0
2026/02/04,72,0,0,0,0,0,0,0,0
2026/02/05,21,0,0,0,0,0,0,0,0
2026/02/06,16,0,0,1,0,0,0,0,2
2026/02/07,23,0,0,0,0,0,0,0,0
2026/02/08,22,0,0,0,0,0,0,0,0
2026/02/09,29,0,0,0,0,0,0,0,0
2026/02/10,16,0,0,0,0,0,0,0,0
2026/02/11,6,0,0,0,0,0,0,0,0
2026/02/12,10,0,0,0,0,0,0,0,0
2026/02/13,4,0,0,0,0,0,0,0,0
2026/02/14,9,0,0,0,0,0,0,0,0
2026/02/15,14,0,0,0,0,0,0,0,0
2026/02/16,15,0,0,0,0,0,0,0,0
2026/02/17,7,0,0,0,0,0,0,0,0
2026/02/18,3,0,0,0,0,0,0,0,0
